,close,high,low,open,time,volume
0,1126.1200,1128.3000,1116.6400,1116.6400,2019-02-19,411011
1,1119.6300,1139.3000,1116.7200,1139.3000,2019-02-15,1391348
2,1129.2000,1136.1300,1117.0900,1125.0000,2019-02-14,1055297
3,1128.6300,1142.8500,1126.0000,1133.0400,2019-02-13,1402087
4,1127.5800,1132.8600,1111.0100,1111.0100,2019-02-12,1751771
5,1102.1200,1113.4300,1100.0000,1103.7500,2019-02-11,924881
6,1102.3800,1105.1000,1094.2400,1094.8800,2019-02-08,1088327
7,1105.9100,1111.9900,1093.5900,1111.8200,2019-02-07,1914877
8,1122.8900,1154.0000,1118.3600,1149.2700,2019-02-06,2412820
9,1151.8700,1152.7700,1123.6000,1129.6300,2019-02-05,4114790
10,1141.4200,1142.3400,1117.5100,1119.0100,2019-02-04,3920591
11,1118.6200,1134.4000,1114.2500,1122.2900,2019-02-01,1655813
12,1125.8900,1127.6700,1105.2500,1112.2400,2019-01-31,2011572
13,1097.9900,1099.5200,1076.6400,1077.3600,2019-01-30,1472647
14,1070.0600,1084.7300,1066.0200,1081.0400,2019-01-29,985248
15,1079.8600,1093.3700,1074.6100,1090.0700,2019-01-28,1466714
16,1101.5100,1103.3600,1091.8000,1094.2300,2019-01-25,1163788
17,1084.0000,1088.0000,1070.0200,1082.5100,2019-01-24,1455948
18,1084.4100,1092.9500,1067.5700,1086.8600,2019-01-23,1259738
19,1078.6300,1098.9700,1070.8900,1096.0000,2019-01-22,1981594
20,1107.3000,1118.0000,1099.2800,1108.5900,2019-01-18,2244569
21,1099.1200,1100.7000,1083.2600,1087.9900,2019-01-17,1244801
22,1089.5100,1102.3600,1088.0100,1090.0000,2019-01-16,1914041
23,1086.5100,1088.2700,1054.4400,1058.0100,2019-01-15,1875852
24,1051.5100,1058.4500,1048.5500,1053.3400,2019-01-14,1424486
25,1064.4700,1073.3700,1056.4300,1069.9000,2019-01-11,1543238
26,1078.8300,1079.8100,1064.6800,1074.9400,2019-01-10,1329861
27,1081.6500,1091.6400,1074.3700,1087.9900,2019-01-09,1349912
28,1085.3700,1093.3500,1068.3500,1086.0000,2019-01-08,1770654
29,1075.9200,1082.7000,1062.6400,1080.9700,2019-01-07,2372667
30,1078.0700,1080.0000,1036.8600,1042.5600,2019-01-04,2301428
31,1025.4700,1066.2600,1022.3700,1050.6700,2019-01-03,2097957
32,1054.6800,1060.7900,1025.2800,1027.2000,2019-01-02,1593395
33,1044.9600,1062.9900,1033.0400,1057.8300,2018-12-31,1655504
34,1046.6800,1064.2300,1042.0000,1059.5000,2018-12-28,1718352
35,1052.9000,1053.3400,1007.0000,1026.2000,2018-12-27,2299806
36,1047.8500,1048.4500,992.6450,997.9900,2018-12-26,2315862
37,984.6700,1012.1200,977.6599,984.3200,2018-12-24,1817955
38,991.2500,1037.6700,981.1900,1032.0400,2018-12-21,5232490
39,1023.5800,1047.4400,1007.8600,1026.0000,2018-12-20,2683670
40,1035.4600,1075.7100,1019.4300,1047.2900,2018-12-19,2913237
41,1043.4100,1059.6900,1030.4800,1034.0000,2018-12-18,2182019
42,1025.6500,1062.3800,1016.6300,1047.0100,2018-12-17,2496551
43,1051.7100,1071.7200,1049.3700,1060.0200,2018-12-14,1817949
44,1073.5400,1088.4200,1064.9900,1075.6700,2018-12-13,1249403
45,1073.7300,1091.7300,1071.9700,1077.0800,2018-12-12,1447973
46,1061.6500,1070.4000,1050.1000,1066.9400,2018-12-11,1692576
47,1053.1800,1059.6000,1033.0000,1042.9400,2018-12-10,1682646
48,1046.5800,1085.0300,1039.3700,1072.2300,2018-12-07,2134111
49,1078.0800,1079.4200,1042.4800,1045.0000,2018-12-06,2371825
50,1062.4700,1114.2400,1060.7800,1112.9900,2018-12-04,2281485
51,1116.3600,1135.0000,1111.7300,1132.1600,2018-12-03,2876449
52,1109.6500,1109.6500,1083.1800,1095.6300,2018-11-30,2983340
53,1094.5800,1100.1500,1082.0000,1083.5300,2018-11-29,1550523
54,1091.7900,1092.8600,1042.9500,1057.4600,2018-11-28,2302121
55,1052.2800,1066.7600,1045.5000,1051.3400,2018-11-27,1652433
56,1055.9400,1057.0000,1039.7700,1044.0000,2018-11-26,1577941
57,1030.1000,1043.0000,1028.5200,1033.5000,2018-11-23,708859
58,1043.4300,1054.7000,1039.4500,1045.3100,2018-11-21,1485172
59,1030.4500,1037.3500,1002.2100,1007.2900,2018-11-20,2722934
60,1027.4200,1068.0000,1022.8700,1063.3900,2018-11-19,2284191
61,1068.2700,1072.4400,1054.9000,1065.2300,2018-11-16,1768308
62,1071.0500,1078.8700,1041.2900,1051.4600,2018-11-15,2079154
63,1054.5800,1065.7900,1041.1100,1060.0000,2018-11-14,1733302
64,1047.9700,1066.6600,1040.4000,1054.8100,2018-11-13,1287475
65,1049.3600,1074.1000,1040.3500,1073.1300,2018-11-12,1700091
66,1077.0200,1088.3500,1064.2600,1084.0200,2018-11-09,1743298
67,1094.6300,1108.2200,1084.3600,1107.3000,2018-11-08,1685193
68,1108.2400,1109.9300,1080.5900,1083.4900,2018-11-07,2169392
69,1069.5700,1079.8200,1053.6100,1055.0200,2018-11-06,1433013
70,1055.7300,1073.3500,1034.0000,1072.5300,2018-11-05,2267870
71,1071.4900,1098.0000,1067.6600,1089.0000,2018-11-02,2172215
72,1085.9800,1099.9000,1077.8200,1091.4000,2018-11-01,2006575
73,1090.5800,1108.0000,1068.2000,1068.2000,2018-10-31,3545821
74,1049.5100,1050.9000,1013.9700,1020.0100,2018-10-30,2988418
75,1034.7300,1108.8300,1007.2000,1096.5400,2018-10-29,4064452
76,1083.7500,1117.0000,1042.2300,1048.3300,2018-10-26,5321883
77,1103.5900,1117.8200,1075.5500,1080.3000,2018-10-25,3647814
78,1057.1200,1116.6200,1055.0600,1115.0000,2018-10-24,2464295
79,1114.9100,1118.0000,1079.0100,1091.2900,2018-10-23,1884255
80,1111.3700,1121.6900,1100.0000,1112.5100,2018-10-22,1355842
81,1105.1800,1120.9500,1097.0300,1103.7100,2018-10-19,2064289
82,1097.9100,1132.3500,1086.3400,1130.0000,2018-10-18,2307596
83,1127.5900,1147.0000,1114.0000,1140.0000,2018-10-17,1782614
84,1133.0800,1136.3700,1111.7500,1113.4800,2018-10-16,1918879
85,1102.4400,1121.8000,1098.2200,1118.0000,2018-10-15,1503956
86,1120.5400,1125.8300,1095.0300,1119.6400,2018-10-12,2468920
87,1090.7400,1116.0600,1075.8900,1079.0400,2018-10-11,3384775
88,1092.1600,1137.0200,1091.5100,1136.4000,2018-10-10,2949006
89,1145.1700,1161.5500,1144.1700,1151.3100,2018-10-09,1684728
90,1155.9200,1175.8600,1135.4000,1160.0000,2018-10-08,2309539
91,1167.8300,1182.0000,1154.3200,1176.0000,2018-10-05,1593012
92,1177.0700,1205.9000,1163.8500,1205.0300,2018-10-04,2328778
93,1211.5300,1214.1800,1202.1500,1212.0000,2018-10-03,1312686
94,1207.6400,1224.5200,1199.6600,1206.6700,2018-10-02,2008956
95,1208.5300,1224.2000,1203.1900,1213.0000,2018-10-01,1659364
96,1207.0800,1208.4500,1197.8300,1204.0900,2018-09-28,1780759
97,1207.3600,1216.8600,1198.0500,1200.0000,2018-09-27,1813652
98,1194.0600,1207.2400,1185.4000,1193.6900,2018-09-26,1882524
99,1193.8900,1196.8600,1174.0900,1184.2500,2018-09-25,1657809
