,close,high,low,open,time,volume
0,1113.6500,1131.6700,1110.6500,1130.0800,2019-02-15,1449830
1,1121.6700,1128.2300,1110.4400,1118.0500,2019-02-14,947632
2,1120.1600,1134.7300,1118.5000,1124.9900,2019-02-13,1049781
3,1121.3700,1125.3000,1105.8500,1106.8000,2019-02-12,1609513
4,1095.0100,1105.9400,1092.8600,1096.9500,2019-02-11,1065194
5,1095.0600,1098.9100,1086.5500,1087.0000,2019-02-08,1075769
6,1098.7100,1104.8400,1086.0000,1104.1600,2019-02-07,2044827
7,1115.2300,1147.0000,1112.7700,1139.5700,2019-02-06,2105592
8,1145.9900,1146.8500,1117.2500,1124.8400,2019-02-05,3552194
9,1132.8000,1132.8000,1109.0200,1112.6600,2019-02-04,2576470
10,1110.7500,1125.0000,1104.8900,1112.4000,2019-02-01,1462208
11,1116.3700,1117.3300,1095.4100,1103.0000,2019-01-31,1538324
12,1089.0600,1091.0000,1066.8500,1068.4300,2019-01-30,1279822
13,1060.6200,1075.1500,1055.8600,1072.6800,2019-01-29,1021819
14,1070.0800,1083.0000,1063.8000,1080.1100,2019-01-28,1284281
15,1090.9900,1094.0000,1081.8200,1085.0000,2019-01-25,1119216
16,1073.9000,1079.4700,1060.7000,1076.4800,2019-01-24,1361673
17,1075.5700,1084.9300,1059.7500,1077.3500,2019-01-23,966956
18,1070.5200,1091.5100,1063.4700,1088.0000,2019-01-22,1613527
19,1098.2600,1108.3500,1090.9000,1100.0000,2019-01-18,1955559
20,1089.9000,1091.8000,1073.5000,1079.4700,2019-01-17,1242664
21,1080.9700,1092.3800,1079.3400,1080.0000,2019-01-16,1331819
22,1077.1500,1080.0500,1047.3400,1050.1700,2019-01-15,1463570
23,1044.6900,1051.5300,1041.2600,1046.9200,2019-01-14,1144263
24,1057.1900,1063.7800,1048.4800,1063.1800,2019-01-11,1520756
25,1070.3300,1071.1500,1057.7100,1067.6600,2019-01-10,1456421
26,1074.6600,1082.6300,1066.4000,1081.6500,2019-01-09,1199272
27,1076.2800,1084.5600,1060.5300,1076.1100,2019-01-08,1765267
28,1068.3900,1074.0000,1054.7600,1071.5000,2019-01-07,1981874
29,1070.7100,1070.8400,1027.4200,1032.5900,2019-01-04,2093894
30,1016.0600,1056.9800,1014.0700,1041.0000,2019-01-03,1841066
31,1045.8500,1052.3200,1015.7100,1016.5700,2019-01-02,1532608
32,1035.6100,1052.7000,1023.5900,1050.9600,2018-12-31,1493722
33,1037.0800,1055.5600,1033.1000,1049.6200,2018-12-28,1413772
34,1043.8800,1043.8900,997.0000,1017.1500,2018-12-27,2109777
35,1039.4600,1040.0000,983.0000,989.0100,2018-12-26,2373270
36,976.2200,1003.5400,970.1100,973.9000,2018-12-24,1590328
37,979.5400,1024.0200,973.6900,1015.3000,2018-12-21,4595891
38,1009.4100,1034.2200,996.3600,1018.1300,2018-12-20,2673464
39,1023.0100,1062.0000,1008.0500,1033.9900,2018-12-19,2479338
40,1028.7100,1049.4800,1021.4400,1026.0900,2018-12-18,2192533
41,1016.5300,1053.1500,1007.9000,1037.5100,2018-12-17,2385364
42,1042.1000,1062.6000,1040.7900,1049.9800,2018-12-14,1686619
43,1061.9000,1079.7600,1053.9300,1068.0700,2018-12-13,1329768
44,1063.6800,1081.6500,1062.7900,1068.0000,2018-12-12,1523804
45,1051.7500,1060.6000,1039.8400,1056.4900,2018-12-11,1394731
46,1039.5500,1048.4500,1023.2900,1035.0500,2018-12-10,1807725
47,1036.5800,1075.2600,1028.5000,1060.0100,2018-12-07,2101206
48,1068.7300,1071.2000,1030.7700,1034.2600,2018-12-06,2769225
49,1050.8200,1104.4200,1049.9800,1103.1200,2018-12-04,2345166
50,1106.4300,1124.6500,1103.6600,1123.1400,2018-12-03,1990758
51,1094.4300,1095.5700,1077.8800,1089.0700,2018-11-30,2580612
52,1088.3000,1094.2400,1076.0000,1076.0800,2018-11-29,1468859
53,1086.2300,1086.8400,1035.7600,1048.7600,2018-11-28,2475419
54,1044.4100,1057.5800,1038.4900,1041.0000,2018-11-27,1803164
55,1048.6200,1049.3100,1033.9100,1038.3500,2018-11-26,1942822
56,1023.8800,1037.5900,1022.4000,1030.0000,2018-11-23,691462
57,1037.6100,1048.5600,1033.4700,1036.7600,2018-11-21,1534274
58,1025.7600,1031.7400,996.0200,1000.0000,2018-11-20,2449130
59,1020.0000,1060.7900,1016.2600,1057.2000,2018-11-19,1858614
60,1061.4900,1067.0000,1048.9800,1059.4100,2018-11-16,1658116
61,1064.7100,1071.8500,1031.7800,1044.7100,2018-11-15,1836084
62,1043.6600,1054.5600,1031.0000,1050.0000,2018-11-14,1565945
63,1036.0500,1056.6100,1031.1500,1043.2900,2018-11-13,1513702
64,1038.6300,1062.1200,1031.0000,1061.3900,2018-11-12,1471758
65,1066.1500,1075.5600,1053.1100,1073.9900,2018-11-09,1343313
66,1082.4000,1093.2700,1072.2000,1091.3800,2018-11-08,1488182
67,1093.3900,1095.4600,1065.9000,1069.0000,2018-11-07,2058356
68,1055.8100,1064.3500,1038.0700,1039.4800,2018-11-06,1233306
69,1040.0900,1058.4700,1021.2400,1055.0000,2018-11-05,2441430
70,1057.7900,1082.9700,1054.6100,1073.7300,2018-11-02,1839043
71,1070.0000,1083.9700,1062.4600,1075.8000,2018-11-01,1481979
72,1076.7700,1091.9400,1057.0000,1059.8100,2018-10-31,2529768
73,1036.2100,1037.4900,1000.7500,1008.4600,2018-10-30,3212657
74,1020.0800,1097.0400,995.8300,1082.4700,2018-10-29,3880723
75,1071.4700,1106.5300,1034.0900,1037.0300,2018-10-26,4187586
76,1095.5700,1110.9800,1069.5500,1071.7900,2018-10-25,2545839
77,1050.7100,1106.1200,1048.7400,1104.2500,2018-10-24,1982430
78,1103.6900,1107.8900,1070.0000,1080.8900,2018-10-23,1848654
79,1101.1600,1112.2300,1091.0000,1103.0600,2018-10-22,1514220
80,1096.4600,1110.3600,1087.7500,1093.3700,2018-10-19,1267649
81,1087.9700,1121.8400,1077.0900,1121.8400,2018-10-18,2094524
82,1115.6900,1128.9900,1102.1900,1126.4600,2018-10-17,1467226
83,1121.2800,1124.2200,1102.5000,1104.5900,2018-10-16,1928540
84,1092.2500,1113.4500,1089.0000,1108.9100,2018-10-15,1372393
85,1110.0800,1115.0000,1086.4000,1108.0000,2018-10-12,2101303
86,1079.3200,1106.4000,1068.2700,1072.9400,2018-10-11,2950120
87,1081.2200,1132.1700,1081.1300,1131.0800,2018-10-10,2675742
88,1138.8200,1154.3500,1137.5700,1146.1500,2018-10-09,1308764
89,1148.9700,1168.0000,1127.3600,1150.1100,2018-10-08,1932355
90,1157.3500,1173.5000,1145.1200,1167.5000,2018-10-05,1184452
91,1168.1900,1197.5100,1155.5800,1195.3300,2018-10-04,2209490
92,1202.9500,1206.4100,1193.8300,1205.0000,2018-10-03,1256214
93,1200.1100,1209.9600,1186.6300,1190.9600,2018-10-02,1687914
94,1195.3100,1209.9000,1190.3000,1199.8900,2018-10-01,1357604
95,1193.4700,1195.4100,1184.5000,1191.8700,2018-09-28,1380629
96,1194.6400,1202.1000,1183.6300,1186.7300,2018-09-27,1260754
97,1180.4900,1194.2300,1174.7700,1185.1500,2018-09-26,1462253
98,1184.6500,1186.8800,1168.0000,1176.1500,2018-09-25,977731
99,1173.3700,1178.0000,1146.9100,1157.1700,2018-09-24,1271017
